Nama,Universitas,Negara,Scopus,Scholar,Web of Science Researcher ,Orcid,Role,Link foto
Dr. Rabei Raad Ali,Northern Technical University,Iraq,,,,,Reviewer,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=H6XUyiEAAAAJ&citpid=3
Eko Hari Rachmawanto,Universitas Dian Nuswantoro,Indonesia,https://www.scopus.com/authid/detail.uri?authorId=57193850466,https://scholar.google.com/citations?user=RG2Im6cAAAAJ&hl=en,https://www.webofscience.com/wos/author/record/1143141,https://orcid.org/0000-0001-6014-1903,Editorial,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=RG2Im6cAAAAJ&citpid=5
Hadapiningraja Kusumodestoni,Universitas Islam Nahdlatul Ulama Jepara,Indonesia,,https://scholar.google.com/citations?user=HR5DkVQAAAAJ&hl=id&oi=ao,,,Editorial,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=HR5DkVQAAAAJ&citpid=2
Harminto Mulyo,Universitas Islam Nahdlatul Ulama Jepara,Indonesia,,"https://scholar.google.com/citations?user=cb-o_YYAAAAJ&hl=id&oi=ao
",,,Editorial,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=cb-o_YYAAAAJ&citpid=2
Harminto Mulyo,Universitas Islam Nahdlatul Ulama Jepara,Indonesia,,"https://scholar.google.com/citations?user=cb-o_YYAAAAJ&hl=id&oi=ao
",,,Reviewer,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=cb-o_YYAAAAJ&citpid=2
Hussain Md Mehedul Islam,Florida State University,United States,,,,,Editorial,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=sUF_gxkAAAAJ&citpid=2
Ibnu Utomo,,,,,,,Editorial,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=U3FIcDUAAAAJ&citpid=2
Ikhsan Romli,Universitas Pelita Bangsa,Indonesia,https://www.scopus.com/authid/detail.uri?authorId=41762584900,https://scholar.google.com/citations?user=m-16oX0AAAAJ&hl=id&oi=ao',"https://scholar.google.com/citations?user=m-16oX0AAAAJ&hl=id&oi=ao
",,Editorial,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=m-16oX0AAAAJ&citpid=4
Mr. L. Budi Handoko,Universitas Dian Nuswantoro,Indonesia,,,,,Editorial,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=SfzF2E0AAAAJ&citpid=2
Pungkas Subarkah,Universitas Amikom Purwokerto,Indonesia,"https://www.scopus.com/authid/detail.uri?authorId=57209273167&amp;eid=2-s2.0-85067119348
",https://scholar.google.co.id/citations?user=8cfcdAwAAAAJ&hl=id&oi=ao,https://orcid.org/0000-0001-6598-5240,,Reviewer,https://0.academia-photos.com/53181246/14034902/15061120/s200_pungkas.subarkah.jpg
Rinanza Zulmy Alhamri,Politeknik Negeri Malang PSDKU Kampus Kediri,Indonesia,https://www.scopus.com/authid/detail.uri?authorId=57209226562,https://scholar.google.com/citations?user=wL22IVgAAAAJ&hl=id&oi=ao,,"https://orcid.org/0009-0001-2404-314X
",Reviewer,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=wL22IVgAAAAJ&citpid=3
Ryan Yunus,STT Pati,Indonesia,,https://scholar.google.com/citations?user=nAjW8FEAAAAJ&hl=id&oi=ao,,,Editorial,
Ryan Yunus,STT Pati,Indonesia,,https://scholar.google.com/citations?user=nAjW8FEAAAAJ&hl=id&oi=ao,,,Reviewer,
Tri Ngudi Wiyatno,Universitas Pelita Bangsa,Indonesia,https://www.scopus.com/authid/detail.uri?authorId=57221441833,"https://scholar.google.com/citations?user=fwE7CLMAAAAJ&hl=id&oi=ao

",,,Editorial,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=JiTpgmwAAAAJ&citpid=1
Tri Ngudi Wiyatno,Universitas Pelita Bangsa,Indonesia,https://www.scopus.com/authid/detail.uri?authorId=57221441833,"https://scholar.google.com/citations?user=fwE7CLMAAAAJ&hl=id&oi=ao

",,,Reviewer,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=JiTpgmwAAAAJ&citpid=1
Zudha Pratama,Universitas Dian Nuswantoro,Indonesia,,,,,Editorial,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=0i1rh2MAAAAJ&citpid=3
Zudha Pratama,Universitas Dian Nuswantoro,Indonesia,,,,,Reviewer,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=0i1rh2MAAAAJ&citpid=3
